test_name,planner_name,num_agents,planning_time,plan_cost,num_collision_checks
test11,CBS,6,60.0451,inf,1551243
test12,CBS,6,62.6771,inf,1263032
test13,CBS,6,60.1058,inf,1520954
test14,CBS,6,59.475,31.7824,1465033
test15,CBS,6,60.1498,inf,1365163
test16,CBS,6,60.0585,inf,1113885
test17,CBS,6,60.1761,inf,1422001
test18,CBS,6,60.1575,inf,1131916
test19,CBS,6,60.0817,inf,1368004
test2,CBS_MP,6,60.2664,inf,1166151
test3,CBS_MP,6,60.427,inf,1260874
test4,CBS_MP,6,3.02873,38.8336,65062
test5,CBS_MP,6,9.81575,24.1205,237601
test6,CBS_MP,6,11.5277,30.072,289221
test7,CBS_MP,6,11.2918,28.6932,282258
test8,CBS_MP,6,60.0384,inf,1393938
test9,CBS_MP,6,70.6905,inf,1672676
test10,CBS_MP,6,29.1446,25.9181,678012
test11,CBS_MP,6,64.6018,inf,1035898
test12,CBS_MP,6,63.1301,inf,1241365
test13,CBS_MP,6,89.8467,inf,1707670
test14,CBS_MP,6,4.53932,31.7824,83718
test15,CBS_MP,6,18.6619,28.5536,381780
test16,CBS_MP,6,2.43835,35.5349,42975
test17,CBS_MP,6,73.0772,inf,1323724
test18,CBS_MP,6,60.1355,inf,1046530
test19,CBS_MP,6,61.4,inf,1203542
test2,DRRT-FIRST,6,10.0813,101.271,157506
test3,DRRT-FIRST,6,43.5685,131.843,241639
test4,DRRT-FIRST,6,0.0,inf,901011
test5,DRRT-FIRST,6,2.52817,66.8346,157752
test6,DRRT-FIRST,6,0.0,inf,379574
test7,DRRT-FIRST,6,1.70199,41.6856,154989
test8,DRRT-FIRST,6,8.4287,99.9972,157843
test9,DRRT-FIRST,6,1.98895,83.7867,146749
test10,DRRT-FIRST,6,0.0,inf,248796
test11,DRRT-FIRST,6,0.0,inf,259277
test12,DRRT-FIRST,6,0.0,inf,568453
test13,DRRT-FIRST,6,0.0,inf,718784
test14,DRRT-FIRST,6,0.0,inf,815902
test15,DRRT-FIRST,6,0.0,inf,167928
test16,DRRT-FIRST,6,0.0,inf,821884
test17,DRRT-FIRST,6,1.80971,97.1532,197547
test18,DRRT-FIRST,6,0.0,inf,286258
test19,DRRT-FIRST,6,7.74009,72.016,163732
test0,XECBS,6,4.75248,37.9086,60300
test1,XECBS,6,1.13417,23.2652,14254
test0,ECBS,6,14.3587,37.8038,230319
test1,ECBS,6,5.68053,23.2303,72992
test0,PRIORITIZED_PLANNING,6,62.421,inf,860601
test1,PRIORITIZED_PLANNING,6,2.49285,23.4049,35024
test0,RRT_CONNECT,6,2.33361,90.6276,0
test1,RRT_CONNECT,6,0.415141,54.7514,0
test0,PRM,6,50.8703,338.069,0
test1,PRM,6,0.0,inf,0
test0,XCBS,6,60.0059,inf,891754
test1,XCBS,6,60.0079,inf,833982
test0,CBS,6,60.1992,inf,1084739
test1,CBS,6,60.0872,inf,943659
test0,CBS_MP,6,60.5004,inf,1011447
test1,CBS_MP,6,36.2282,22.7765,605427
test0,DRRT-FIRST,6,0.0,inf,247130
test1,DRRT-FIRST,6,0.0,inf,675752
test20,XECBS,6,1.29249,25.4993,19437
test21,XECBS,6,2.2608,28.4663,31130
test22,XECBS,6,2.83927,34.4179,37660
test23,XECBS,6,1.30257,33.6674,19077
test24,XECBS,6,1.88407,33.4405,27489
test25,XECBS,6,2.29054,27.9078,33728
test26,XECBS,6,4.84784,27.0701,62858
test27,XECBS,6,0.734682,21.5548,12337
test28,XECBS,6,7.50215,30.2291,86577
test29,XECBS,6,3.15527,28.955,43308
test30,XECBS,6,0.632362,28.9201,11618
test31,XECBS,6,60.6664,inf,452699
test32,XECBS,6,5.52459,39.5841,53498
test33,XECBS,6,3.37696,43.4412,38728
test34,XECBS,6,9.91989,36.6345,79674
test35,XECBS,6,3.30648,33.8943,41111
test36,XECBS,6,21.1743,24.4521,167732
test37,XECBS,6,3.37929,32.2537,42538
test38,XECBS,6,60.4828,inf,501219
test39,XECBS,6,8.86606,35.0986,99661
test40,XECBS,6,5.60049,36.2156,49369
test41,XECBS,6,34.542,40.7883,300009
test42,XECBS,6,2.08703,27.6809,21710
test43,XECBS,6,3.47315,33.3358,34910
test44,XECBS,6,1.05193,26.1799,11414
test45,XECBS,6,9.02493,28.2569,73838
test46,XECBS,6,3.50037,38.3449,35485
test47,XECBS,6,3.99372,33.0042,41384
test48,XECBS,6,4.12051,32.9693,45894
test49,XECBS,6,17.5903,29.9673,170848
test20,ECBS,6,2.10804,25.4993,21832
test21,ECBS,6,7.41414,28.4663,81280
test22,ECBS,6,29.1896,32.5329,335460
test23,ECBS,6,2.80632,33.6674,33827
test24,ECBS,6,3.83324,33.4405,43692
test25,ECBS,6,31.8555,26.7908,396495
test26,ECBS,6,10.8282,26.8955,125577
test27,ECBS,6,1.37035,21.5548,17749
test28,ECBS,6,60.034,inf,700888
test29,ECBS,6,12.1486,28.955,136220
test30,ECBS,6,0.992966,28.9201,13129
test31,ECBS,6,62.3455,inf,728112
test32,ECBS,6,12.7864,39.5841,114036
test33,ECBS,6,8.42022,43.4412,92353
test34,ECBS,6,60.1167,inf,582875
test35,ECBS,6,38.4818,33.8943,428340
test36,ECBS,6,36.2533,24.4172,397956
test37,ECBS,6,33.8811,30.3687,369143
test38,ECBS,6,62.752,inf,661997
test39,ECBS,6,40.9386,35.0986,491686
test40,ECBS,6,61.6474,inf,641909
test41,ECBS,6,62.3108,inf,704911
test42,ECBS,6,8.01821,27.7856,94608
test43,ECBS,6,27.9582,32.7424,339957
test44,ECBS,6,1.49945,26.1799,17609
test45,ECBS,6,60.0879,inf,639844
test46,ECBS,6,41.4233,35.9363,460766
test47,ECBS,6,20.4895,32.2013,228906
test48,ECBS,6,12.195,32.8995,139445
test49,ECBS,6,74.6282,inf,734429
test20,PRIORITIZED_PLANNING,6,1.84894,25.1502,22322
test21,PRIORITIZED_PLANNING,6,2.54502,28.2569,29513
test22,PRIORITIZED_PLANNING,6,0.0866229,inf,917
test23,PRIORITIZED_PLANNING,6,29.6981,32.8296,387534
test24,PRIORITIZED_PLANNING,6,31.5068,33.3358,407745
test25,PRIORITIZED_PLANNING,6,6.12634,27.2446,78882
test26,PRIORITIZED_PLANNING,6,6.91545,27.6286,81692
test27,PRIORITIZED_PLANNING,6,12.1198,23.1605,153338
test28,PRIORITIZED_PLANNING,6,61.6355,inf,832546
test29,PRIORITIZED_PLANNING,6,15.2479,28.6059,187095
test30,PRIORITIZED_PLANNING,6,61.0576,inf,784563
test31,PRIORITIZED_PLANNING,6,10.9183,31.0494,128277
test32,PRIORITIZED_PLANNING,6,4.88803,40.3171,50558
test33,PRIORITIZED_PLANNING,6,60.6413,inf,474663
test34,PRIORITIZED_PLANNING,6,37.9877,37.0533,446353
test35,PRIORITIZED_PLANNING,6,9.2208,33.999,116390
test36,PRIORITIZED_PLANNING,6,7.69436,25.0455,95095
test37,PRIORITIZED_PLANNING,6,14.5461,33.1263,186898
test38,PRIORITIZED_PLANNING,6,54.9056,31.6777,651393
test39,PRIORITIZED_PLANNING,6,14.7388,34.8891,199584
test40,PRIORITIZED_PLANNING,6,14.6314,36.2505,183781
test41,PRIORITIZED_PLANNING,6,2.67529,41.9752,32265
test42,PRIORITIZED_PLANNING,6,110.872,inf,1498793
test43,PRIORITIZED_PLANNING,6,61.3024,inf,716970
test44,PRIORITIZED_PLANNING,6,90.3704,inf,1101970
test45,PRIORITIZED_PLANNING,6,65.3662,inf,699755
test46,PRIORITIZED_PLANNING,6,3.43887,inf,41877
test47,PRIORITIZED_PLANNING,6,18.4909,32.9344,214192
test48,PRIORITIZED_PLANNING,6,4.69097,34.4703,54172
test49,PRIORITIZED_PLANNING,6,15.8506,30.0371,205804
test20,RRT_CONNECT,6,0.449246,61.3603,0
test21,RRT_CONNECT,6,0.0,inf,0
test22,RRT_CONNECT,6,0.501185,86.7311,0
test23,RRT_CONNECT,6,2.59878,59.3724,0
test24,RRT_CONNECT,6,0.0,inf,0
test25,RRT_CONNECT,6,1.83196,110.666,0
test26,RRT_CONNECT,6,0.84389,77.7122,0
test27,RRT_CONNECT,6,1.61472,147.481,0
test28,RRT_CONNECT,6,1.05608,128.823,0
test29,RRT_CONNECT,6,0.777438,152.914,0
test30,RRT_CONNECT,6,0.653446,70.3835,0
test31,RRT_CONNECT,6,0.796042,68.9185,0
test32,RRT_CONNECT,6,9.30945,161.844,0
test33,RRT_CONNECT,6,5.63012,143.052,0
test34,RRT_CONNECT,6,0.0,inf,0
test35,RRT_CONNECT,6,1.36976,123.116,0
test36,RRT_CONNECT,6,0.814683,143.887,0
test37,RRT_CONNECT,6,0.537996,115.864,0
test38,RRT_CONNECT,6,0.352128,112.04,0
