test_name,planner_name,num_agents,planning_time,plan_cost,num_collision_checks
test0,XECBS,8,6.80511,47.7871,77160
test1,XECBS,8,3.24261,46.3909,39930
test2,XECBS,8,26.4175,41.1723,228527
test3,XECBS,8,29.5063,45.1517,280513
test4,XECBS,8,7.56539,46.1291,91044
test5,XECBS,8,11.5924,43.4587,105595
test6,XECBS,8,10.3123,44.1394,103170
test7,XECBS,8,3.17114,48.5551,37250
test8,XECBS,8,16.7142,45.6229,159323
test9,XECBS,8,15.5145,42.1148,130024
test10,XECBS,8,9.58606,41.7308,96245
test11,XECBS,8,1.79557,37.8213,22370
test12,XECBS,8,23.4529,41.4167,183471
test13,XECBS,8,2.04188,35.2033,18178
test14,XECBS,8,60.5975,inf,484567
test15,XECBS,8,61.3995,inf,497202
test16,XECBS,8,1.94353,36.7915,15215
test17,XECBS,8,3.2298,40.7883,23467
test18,XECBS,8,13.7812,42.1322,111247
test19,XECBS,8,4.37238,46.4432,31765
test0,ECBS,8,70.1692,inf,592063
test1,ECBS,8,9.39886,47.3333,88653
test2,ECBS,8,75.7808,inf,716806
test3,ECBS,8,84.0073,inf,704080
test4,ECBS,8,70.3715,inf,711727
test5,ECBS,8,60.8643,inf,520422
test6,ECBS,8,31.1905,44.1743,282577
test7,ECBS,8,106.973,inf,935738
test8,ECBS,8,64.1011,inf,586795
test9,ECBS,8,61.5881,inf,490611
test10,ECBS,8,14.6102,42.045,136604
test11,ECBS,8,22.7588,38.31,230422
test12,ECBS,8,63.4783,inf,566328
test13,ECBS,8,2.47445,35.2033,22115
test14,ECBS,8,60.0951,inf,588350
test15,ECBS,8,61.3444,inf,573312
test16,ECBS,8,11.2101,36.9661,106419
test17,ECBS,8,8.79986,40.3695,87644
test18,ECBS,8,74.3858,inf,722408
test19,ECBS,8,16.9638,46.1291,153060
test0,PRIORITIZED_PLANNING,8,39.729,47.0541,391599
test1,PRIORITIZED_PLANNING,8,5.15849,inf,41497
test2,PRIORITIZED_PLANNING,8,85.0169,inf,884887
test3,PRIORITIZED_PLANNING,8,60.5238,inf,448945
test4,PRIORITIZED_PLANNING,8,109.788,inf,1159461
test5,PRIORITIZED_PLANNING,8,2.50721,inf,20510
test6,PRIORITIZED_PLANNING,8,18.3475,42.4988,189308
test7,PRIORITIZED_PLANNING,8,60.1804,inf,708000
test8,PRIORITIZED_PLANNING,8,66.4232,inf,667542
test9,PRIORITIZED_PLANNING,8,83.8941,46.0243,891161
test10,PRIORITIZED_PLANNING,8,8.07703,42.1497,84790
test11,PRIORITIZED_PLANNING,8,10.1582,36.9137,111893
test12,PRIORITIZED_PLANNING,8,97.1679,inf,1081329
test13,PRIORITIZED_PLANNING,8,22.454,34.924,222735
test14,PRIORITIZED_PLANNING,8,11.6757,35.2033,120366
test15,PRIORITIZED_PLANNING,8,65.35,inf,620447
test16,PRIORITIZED_PLANNING,8,36.1518,35.7443,391021
test17,PRIORITIZED_PLANNING,8,64.4771,inf,642167
