test_name,planner_name,num_agents,planning_time,plan_cost,num_collision_checks
test5,CBS_MP,8,60.0178,inf,872619
test6,CBS_MP,8,60.1817,inf,940075
test7,CBS_MP,8,62.8773,inf,1093452
test8,CBS_MP,8,60.0952,inf,786546
test9,CBS_MP,8,4.91489,36.1632,72184
test10,CBS_MP,8,60.2854,inf,943304
test11,CBS_MP,8,91.3267,inf,1343515
test12,CBS_MP,8,60.0749,inf,919562
test13,CBS_MP,8,57.1735,40.8582,763313
test14,CBS_MP,8,9.02281,35.4127,144911
test15,CBS_MP,8,62.5522,inf,929392
test16,CBS_MP,8,33.3895,40.928,466785
test17,CBS_MP,8,62.5176,inf,960736
test18,CBS_MP,8,60.5107,inf,867632
test19,CBS_MP,8,60.0526,inf,895390
test0,DRRT-FIRST,8,0,inf,809036
test1,DRRT-FIRST,8,0,inf,594324
test2,DRRT-FIRST,8,0,inf,767089
test3,DRRT-FIRST,8,0,inf,1148418
test4,DRRT-FIRST,8,0,inf,773278
test5,DRRT-FIRST,8,0,inf,703623
test6,DRRT-FIRST,8,0,inf,1063241
test7,DRRT-FIRST,8,0,inf,624987
test8,DRRT-FIRST,8,0,inf,754565
test9,DRRT-FIRST,8,0,inf,209082
test10,DRRT-FIRST,8,0,inf,701835
test11,DRRT-FIRST,8,0,inf,701539
test12,DRRT-FIRST,8,0,inf,764307
test13,DRRT-FIRST,8,0,inf,634148
test14,DRRT-FIRST,8,0,inf,620044
test15,DRRT-FIRST,8,0,inf,596043
test16,DRRT-FIRST,8,0,inf,726827
test17,DRRT-FIRST,8,0,inf,287563
test18,DRRT-FIRST,8,0,inf,676765
test19,DRRT-FIRST,8,0,inf,724647
test20,ECBS,8,85.0498,inf,666694
test21,ECBS,8,31.7272,33.8594,208671
test22,ECBS,8,4.01542,34.1561,35191
test23,ECBS,8,69.1872,inf,594933
test24,ECBS,8,86.8415,inf,757944
test25,ECBS,8,46.4151,26.3021,413702
test26,ECBS,8,61.7449,inf,539742
test27,ECBS,8,49.8407,40.7883,436187
test28,ECBS,8,69.1016,inf,531435
test29,ECBS,8,83.683,inf,717849
test30,ECBS,8,78.7635,inf,509238
test31,ECBS,8,60.9505,inf,514032
test32,ECBS,8,54.1797,53.983,469337
test33,ECBS,8,18.8401,34.4179,163993
test34,ECBS,8,18.7255,30.2116,173608
test35,ECBS,8,13.7394,35.0637,99186
test36,ECBS,8,22.4704,37.0882,172460
