test_name,planner_name,num_agents,planning_time,plan_cost,num_collision_checks
test0,ECBS,2,0.0466947,9.8262,3370
test1,ECBS,2,0.0446691,11.5192,3286
test2,ECBS,2,0.305599,18.2212,20734
test3,ECBS,2,1.01876,15.0447,65699
test4,ECBS,2,0.730987,15.6032,38965
test5,ECBS,2,0.193111,12.4617,9532
test6,ECBS,2,0.268177,10.4545,17150
test7,ECBS,2,0.0328744,8.39503,2428
test8,ECBS,2,0.034092,8.15069,2404
test9,ECBS,2,0.0343088,8.18559,2318
test10,ECBS,2,0.0395964,9.47714,2872
test11,ECBS,2,0.0638557,12.0428,3710
test12,ECBS,2,0.121404,15.8999,8314
test13,ECBS,2,0.0456793,13.3518,3278
test14,ECBS,2,0.110212,12.3395,7510
test15,ECBS,2,0.0519671,12.6362,3559
test16,ECBS,2,0.28225,9.28515,18982
test17,ECBS,2,0.104519,11.8857,6934
test18,ECBS,2,0.0467897,11.6413,3272
test19,ECBS,2,0.146509,17.2613,10186
test0,PRIORITIZED_PLANNING,2,0.0926245,9.8262,6360
test1,PRIORITIZED_PLANNING,2,0.16908,11.1701,13036
test2,PRIORITIZED_PLANNING,2,1.7138,18.1165,125795
test3,PRIORITIZED_PLANNING,2,0.18824,15.0447,10739
test4,PRIORITIZED_PLANNING,2,0.148733,15.6032,9039
test5,PRIORITIZED_PLANNING,2,0.247498,12.9852,11397
test6,PRIORITIZED_PLANNING,2,0.275713,11.1527,16338
test7,PRIORITIZED_PLANNING,2,0.0749982,8.39503,5781
test8,PRIORITIZED_PLANNING,2,0.0663111,7.94125,4367
test9,PRIORITIZED_PLANNING,2,0.0598674,8.18559,4285
test10,PRIORITIZED_PLANNING,2,0.067943,9.47714,5091
test11,PRIORITIZED_PLANNING,2,0.194565,12.0428,12976
test12,PRIORITIZED_PLANNING,2,0.105117,15.8999,8010
test13,PRIORITIZED_PLANNING,2,0.109714,13.3518,7373
test14,PRIORITIZED_PLANNING,2,0.0948092,12.3395,6493
test15,PRIORITIZED_PLANNING,2,0.0869382,12.6362,6656
test16,PRIORITIZED_PLANNING,2,0.0811249,9.28515,5460
test17,PRIORITIZED_PLANNING,2,0.105318,11.7461,6306
test18,PRIORITIZED_PLANNING,2,0.098904,11.4668,7258
test19,PRIORITIZED_PLANNING,2,0.147982,17.2613,10135
test0,RRT_CONNECT,2,0.0248396,11.0592,0
test1,RRT_CONNECT,2,0.0149382,10.9257,0
test2,RRT_CONNECT,2,0.0310129,18.116,0
test3,RRT_CONNECT,2,0.0401636,15.629,0
test4,RRT_CONNECT,2,0.0300116,19.6322,0
test5,RRT_CONNECT,2,0.027335,16.2639,0
test6,RRT_CONNECT,2,0.0264438,10.4194,0
test7,RRT_CONNECT,2,0.032393,8.50319,0
test8,RRT_CONNECT,2,0.0315093,7.94135,0
test9,RRT_CONNECT,2,0.0266681,7.69674,0
test10,RRT_CONNECT,2,0.028032,9.47695,0
test11,RRT_CONNECT,2,0.038375,11.8682,0
test12,RRT_CONNECT,2,0.0284092,16.468,0
test13,RRT_CONNECT,2,0.0384902,13.0024,0
test14,RRT_CONNECT,2,0.0239055,12.3393,0
test15,RRT_CONNECT,2,0.0341741,12.2865,0
test16,RRT_CONNECT,2,0.0310885,9.14554,0
test17,RRT_CONNECT,2,0.0278957,11.7461,0
test18,RRT_CONNECT,2,0.0247679,11.1182,0
test19,RRT_CONNECT,2,0.031627,17.0873,0
test0,PRM,2,0.0272474,19.3521,0
test1,PRM,2,0.0220795,10.9259,0
test2,PRM,2,0.0187738,18.1166,0
test3,PRM,2,0.0603133,25.7277,0
test4,PRM,2,0.0431944,20.8853,0
test5,PRM,2,0.0429296,17.6483,0
test6,PRM,2,0.0224251,10.4193,0
test7,PRM,2,0.0205368,17.4542,0
test8,PRM,2,0.0164512,7.94124,0
test9,PRM,2,0.0239382,7.69646,0
test10,PRM,2,0.0191676,9.47671,0
test11,PRM,2,0.0135644,11.8679,0
test12,PRM,2,0.046452,27.9299,0
test13,PRM,2,0.0146494,13.0029,0
test14,PRM,2,0.023531,12.3391,0
test15,PRM,2,0.023278,12.2869,0
test16,PRM,2,0.021198,9.14576,0
test17,PRM,2,0.0188346,11.7463,0
test18,PRM,2,0.0204443,11.1174,0
test19,PRM,2,0.0223598,17.0862,0
test0,XCBS,2,0.0450902,9.8262,3315
test1,XCBS,2,0.0451707,11.5192,3286
test2,XCBS,2,0.669517,18.2561,36270
test3,XCBS,2,64.105,inf,3860698
test4,XCBS,2,8.77119,15.2193,327827
test5,XCBS,2,8.68829,12.6711,362607
test6,XCBS,2,0.309938,10.4545,17517
test7,XCBS,2,0.0353863,8.39503,2428
test8,XCBS,2,0.0355689,7.94125,2314
test9,XCBS,2,0.0353738,8.18559,2318
test10,XCBS,2,0.0419183,9.47714,2778
test11,XCBS,2,0.063922,12.0428,3620
test12,XCBS,2,0.0645464,15.8999,4509
test13,XCBS,2,0.0469255,13.3518,3278
test14,XCBS,2,0.121786,12.4442,8128
test15,XCBS,2,0.0507048,12.6362,3559
test16,XCBS,2,0.0341626,9.28515,2438
test17,XCBS,2,0.0977268,11.8857,6303
test18,XCBS,2,0.0451153,11.6413,3272
test19,XCBS,2,0.0976524,17.2613,6592
test0,CBS_MP,2,0.0384557,9.8262,2823
test1,CBS_MP,2,0.0390954,11.5192,2757
test2,CBS_MP,2,0.270831,18.2212,18168
test3,CBS_MP,2,68.939,inf,5103105
test4,CBS_MP,2,0.767456,15.6032,39501
test5,CBS_MP,2,1.24041,12.4617,63217
test6,CBS_MP,2,1.26514,10.4545,81726
test7,CBS_MP,2,0.030615,8.39503,2042
test8,CBS_MP,2,0.0302189,7.94125,1939
test9,CBS_MP,2,0.0308023,8.18559,1943
test10,CBS_MP,2,0.0358537,9.47714,2329
test11,CBS_MP,2,0.0548595,12.0428,3036
test12,CBS_MP,2,0.103776,15.8999,7049
test13,CBS_MP,2,0.0414849,13.3518,2749
test14,CBS_MP,2,0.0954839,12.3395,6197
test15,CBS_MP,2,0.0453735,12.6362,2984
test16,CBS_MP,2,0.0306556,9.28515,2045
test17,CBS_MP,2,0.126958,11.8857,8622
test18,CBS_MP,2,0.0420134,11.6413,2744
test19,CBS_MP,2,0.124442,17.2613,8495
test0,CBS,2,0.050922,9.8262,2823
test1,CBS,2,0.0395932,11.5192,2757
test2,CBS,2,7.83443,18.2561,554415
test3,CBS,2,71.5195,inf,5170249
test4,CBS,2,51.7231,15.2193,2943073
test5,CBS,2,36.7886,12.6711,2478150
test6,CBS,2,0.676827,10.4545,49714
test7,CBS,2,0.0260951,8.39503,2042
test8,CBS,2,0.0267245,7.94125,1939
test9,CBS,2,0.0257947,8.18559,1943
test10,CBS,2,0.0307087,9.47714,2329
test11,CBS,2,0.0486035,12.0428,3036
test12,CBS,2,0.0866663,15.8999,6795
test13,CBS,2,0.0353258,13.3518,2749
test14,CBS,2,0.173741,12.4442,11920
test15,CBS,2,0.0388441,12.6362,2984
test16,CBS,2,0.0263201,9.28515,2045
test17,CBS,2,0.255937,11.8857,19531
test18,CBS,2,0.0355516,11.6413,2744
test19,CBS,2,0.167254,17.2613,12437
test0,DRRT-FIRST,2,0.00222535,9.47714,48077
test1,DRRT-FIRST,2,0.00205369,10.9258,48242
test2,DRRT-FIRST,2,0.00179011,18.1165,48043
test3,DRRT-FIRST,2,0.164454,15.7667,55371
test4,DRRT-FIRST,2,0.166654,22.79,56491
test5,DRRT-FIRST,2,0.168579,12.986,55557
test6,DRRT-FIRST,2,0.00176626,10.4196,47790
test7,DRRT-FIRST,2,0.166984,9.20316,55649
test8,DRRT-FIRST,2,0.00213974,7.94125,46652
